workload,metric,unit,Stage-1,Stage-2 minus Borrow,Stage-2 minus Last-Use,Stage-2 Full,OCaml baseline,Original system
SBPF-program,Median runtime,s,81.756,0.12264,2.353,0.01058,0.15118,0.00005175
SBPF-program,Normalized runtime,Full=1,7727,11.59,222.4,1.00,14.29,0.00489
SBPF-program,Heap allocation,MiB/case,370.059,0.896,8.275,0.097,2.539,0.000
SBPF-program,Normalized allocation,Full=1,3826,9.26,85.56,1.00,26.26,0.00
SBPF-instruction,Median runtime,s,5.287,0.14122,2.367,0.07908,1.122,0.002857
SBPF-instruction,Normalized runtime,Full=1,66.9,1.79,29.9,1.00,14.2,0.0361
SBPF-instruction,Heap allocation,KiB/vector,963.613,35.540,568.863,22.234,295.356,0.000
SBPF-instruction,Normalized allocation,Full=1,43.3,1.60,25.6,1.00,13.3,0.00
x64-stepper,Median runtime,s,0.03086,0.01439,0.01819,0.01030,0.62287,0.03795
x64-stepper,Normalized runtime,Full=1,3.00,1.40,1.77,1.00,60.5,3.69
x64-stepper,Heap allocation,KiB/step,9.818,3.882,5.056,2.743,491.115,0.000
x64-stepper,Normalized allocation,Full=1,3.58,1.42,1.84,1.00,179.1,0.00
