benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-1,runtime,1,173877,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9fadfe42125b49fa738ef0deefe22f2e88a0bb07354ab3af777bd8bf740d4675,1,146,81.756419489,81.756419489,1606640,0,,0
SBPF-program,Stage-1,allocation,1,174201,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9a06aa96660494d7a2639d789843b60e8f55e87f8034f36c76de1004b96e5c08,1,146,86.050178926,86.050178926,1606692,56653172736,,0
SBPF-instruction,Stage-1,runtime,1,174565,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,fc78de2c358cb9be481c7a8457a4e6a232ed6f408fb36d1598b735e563a17997,1,6000,5.239456566,5.239456566,24596,0,,0
SBPF-instruction,Stage-1,allocation,1,174650,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,e4714e3bcdfbd856b90a614075811faa7d52dafc43b5f5a3c7542ca47c03ed77,1,6000,5.709941743,5.709941743,24388,5920440928,,0
SBPF-program,Stage-1,runtime,2,174826,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9fadfe42125b49fa738ef0deefe22f2e88a0bb07354ab3af777bd8bf740d4675,1,146,81.894963691,81.894963691,1606748,0,,0
SBPF-program,Stage-1,allocation,2,175112,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9a06aa96660494d7a2639d789843b60e8f55e87f8034f36c76de1004b96e5c08,1,146,87.491984042,87.491984042,1606748,56653172736,,0
SBPF-instruction,Stage-1,runtime,2,175513,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,fc78de2c358cb9be481c7a8457a4e6a232ed6f408fb36d1598b735e563a17997,1,6000,5.286775264,5.286775264,24588,0,,0
SBPF-instruction,Stage-1,allocation,2,175577,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,e4714e3bcdfbd856b90a614075811faa7d52dafc43b5f5a3c7542ca47c03ed77,1,6000,5.508520454,5.508520454,24528,5920440928,,0
SBPF-program,Stage-1,runtime,3,175601,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9fadfe42125b49fa738ef0deefe22f2e88a0bb07354ab3af777bd8bf740d4675,1,146,80.158382013,80.158382013,1606620,0,,0
SBPF-program,Stage-1,allocation,3,175981,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9a06aa96660494d7a2639d789843b60e8f55e87f8034f36c76de1004b96e5c08,1,146,87.071161658,87.071161658,1606696,56653172736,,0
