benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,exit_status
x64-stepper,Native x64 baseline,runtime,1,31201,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,140,840000,5.361618772,0.038297277,34792,0,0
x64-stepper,Native x64 baseline,allocation,1,31254,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,1,6000,0.000000000,0.000000000,34792,0,0
x64-stepper,Native x64 baseline,runtime,2,31429,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,140,840000,5.073884781,0.036242034,34792,0,0
x64-stepper,Native x64 baseline,allocation,2,31472,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,1,6000,0.000000000,0.000000000,34792,0,0
x64-stepper,Native x64 baseline,runtime,3,31583,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,140,840000,5.313437522,0.037953125,34792,0,0
x64-stepper,Native x64 baseline,allocation,3,31696,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,1,6000,0.000000000,0.000000000,34664,0,0
x64-stepper,Stage-1,runtime,1,185812,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,ab9d7f9a5747865ca3b1f8da74ad2f1df7d2282303ee19430c69a83fde55a174,163,978000,5.030492200,0.030861915,19156,0,0
x64-stepper,Stage-1,allocation,1,185918,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0131908aa502482dce156db87cd07aa458a22054d1e8ff80b9576ce457ecb82a,1,6000,0.039083673,0.039083673,19024,60323736,0
x64-stepper,Stage-1,runtime,2,185924,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,ab9d7f9a5747865ca3b1f8da74ad2f1df7d2282303ee19430c69a83fde55a174,163,978000,4.975939842,0.030527238,19012,0,0
x64-stepper,Stage-1,allocation,2,186073,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0131908aa502482dce156db87cd07aa458a22054d1e8ff80b9576ce457ecb82a,1,6000,0.036208301,0.036208301,18960,60323736,0
x64-stepper,Stage-1,runtime,3,186083,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,ab9d7f9a5747865ca3b1f8da74ad2f1df7d2282303ee19430c69a83fde55a174,163,978000,5.307310037,0.032560184,19220,0,0
x64-stepper,Stage-1,allocation,3,186225,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0131908aa502482dce156db87cd07aa458a22054d1e8ff80b9576ce457ecb82a,1,6000,0.047549599,0.047549599,18960,60323736,0
x64-stepper,OCaml baseline,runtime,1,19565,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,9,54000,5.605839443,0.622871049,117816,0,0
x64-stepper,OCaml baseline,allocation,1,19595,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,1,6000,0.000000000,0.000000000,99408,3017412960,0
x64-stepper,OCaml baseline,runtime,2,19597,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,9,54000,5.522352169,0.613594685,117864,0,0
x64-stepper,OCaml baseline,allocation,2,19627,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,1,6000,0.000000000,0.000000000,99324,3017412960,0
x64-stepper,OCaml baseline,runtime,3,19635,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,9,54000,5.625572693,0.625063633,117824,0,0
x64-stepper,OCaml baseline,allocation,3,19675,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,1,6000,0.000000000,0.000000000,99312,3017412960,0
x64-stepper,Stage-2 Full,runtime,1,53435,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,6b6f5014691d698c923610bcbfcfe7326286d6e8f174ccc4de9106a0b8bb968c,634,3804000,6.608014906,0.010422736,19064,0,0
x64-stepper,Stage-2 minus Closure,runtime,1,53466,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,89c662c12e12ee02a5785b679b8562abddcf2e15aa3c2c9c9cdf2680b6aac6b8,634,3804000,6.501199575,0.010254258,19128,0,0
x64-stepper,Stage-2 minus Borrow,runtime,1,53491,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,d8c386e62e5b00e738fb7f25b9d7da028b9af74c1ed3cf98cad7c1b0b6e6f933,436,2616000,6.304859522,0.014460687,19212,0,0
x64-stepper,Stage-2 minus Last-Use,runtime,1,53515,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,5ee15cbb20d91b7ed158a68ff4cbc429c9e09d7f2efcbb934d7f2fbd0ca7c000,324,1944000,5.892298584,0.018186107,19120,0,0
x64-stepper,Stage-2 Full,allocation,1,53539,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,2768e41851b7517409c4a964e4a98b9603801e851d379d69d7545c9ae0b8b91b,1,6000,0.011265492,0.011265492,19000,16850840,0
x64-stepper,Stage-2 minus Closure,allocation,1,53541,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0503a45d77a95361b51c29fdb00e0f505c88c3c940989d09e41ed96216529300,1,6000,0.008734010,0.008734010,19000,16850840,0
x64-stepper,Stage-2 minus Borrow,allocation,1,53543,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,256650f40c78108ca06e1f7201652fef32ad81c36b8b02146aa6cad3c0f02de1,1,6000,0.033403921,0.033403921,19020,23851128,0
x64-stepper,Stage-2 minus Last-Use,allocation,1,53545,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,4f1c034ca429f71f450541bcc6049af22c02a422f75c619e70796a7d3f9b052d,1,6000,0.017751198,0.017751198,19180,31066552,0
x64-stepper,Stage-2 minus Borrow,runtime,2,53547,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,d8c386e62e5b00e738fb7f25b9d7da028b9af74c1ed3cf98cad7c1b0b6e6f933,436,2616000,6.275227980,0.014392725,19148,0,0
x64-stepper,Stage-2 minus Last-Use,runtime,2,53575,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,5ee15cbb20d91b7ed158a68ff4cbc429c9e09d7f2efcbb934d7f2fbd0ca7c000,324,1944000,5.729026600,0.017682181,19056,0,0
x64-stepper,Stage-2 minus Closure,runtime,2,53599,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,89c662c12e12ee02a5785b679b8562abddcf2e15aa3c2c9c9cdf2680b6aac6b8,634,3804000,6.374897077,0.010055043,19128,0,0
x64-stepper,Stage-2 Full,runtime,2,53624,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,6b6f5014691d698c923610bcbfcfe7326286d6e8f174ccc4de9106a0b8bb968c,634,3804000,6.407591750,0.010106612,19116,0,0
x64-stepper,Stage-2 minus Borrow,allocation,2,53648,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,256650f40c78108ca06e1f7201652fef32ad81c36b8b02146aa6cad3c0f02de1,1,6000,0.013670021,0.013670021,19148,23851128,0
x64-stepper,Stage-2 minus Last-Use,allocation,2,53650,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,4f1c034ca429f71f450541bcc6049af22c02a422f75c619e70796a7d3f9b052d,1,6000,0.021791748,0.021791748,19116,31066552,0
x64-stepper,Stage-2 minus Closure,allocation,2,53652,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0503a45d77a95361b51c29fdb00e0f505c88c3c940989d09e41ed96216529300,1,6000,0.013277873,0.013277873,19000,16850840,0
x64-stepper,Stage-2 Full,allocation,2,53654,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,2768e41851b7517409c4a964e4a98b9603801e851d379d69d7545c9ae0b8b91b,1,6000,0.011168688,0.011168688,19000,16850840,0
x64-stepper,Stage-2 minus Last-Use,runtime,3,53656,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,5ee15cbb20d91b7ed158a68ff4cbc429c9e09d7f2efcbb934d7f2fbd0ca7c000,324,1944000,5.906616248,0.018230297,19072,0,0
x64-stepper,Stage-2 Full,runtime,3,53683,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,6b6f5014691d698c923610bcbfcfe7326286d6e8f174ccc4de9106a0b8bb968c,634,3804000,6.528146342,0.010296761,19000,0,0
x64-stepper,Stage-2 minus Closure,runtime,3,53709,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,89c662c12e12ee02a5785b679b8562abddcf2e15aa3c2c9c9cdf2680b6aac6b8,634,3804000,6.469458405,0.010204193,19128,0,0
x64-stepper,Stage-2 minus Borrow,runtime,3,53733,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,d8c386e62e5b00e738fb7f25b9d7da028b9af74c1ed3cf98cad7c1b0b6e6f933,436,2616000,6.182429914,0.014179885,18956,0,0
x64-stepper,Stage-2 minus Last-Use,allocation,3,53758,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,4f1c034ca429f71f450541bcc6049af22c02a422f75c619e70796a7d3f9b052d,1,6000,0.019766216,0.019766216,19044,31066552,0
x64-stepper,Stage-2 Full,allocation,3,53760,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,2768e41851b7517409c4a964e4a98b9603801e851d379d69d7545c9ae0b8b91b,1,6000,0.009171716,0.009171716,19000,16850840,0
x64-stepper,Stage-2 minus Closure,allocation,3,53762,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0503a45d77a95361b51c29fdb00e0f505c88c3c940989d09e41ed96216529300,1,6000,0.009305473,0.009305473,19052,16850840,0
x64-stepper,Stage-2 minus Borrow,allocation,3,53764,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,256650f40c78108ca06e1f7201652fef32ad81c36b8b02146aa6cad3c0f02de1,1,6000,0.018905720,0.018905720,19020,23851128,0
