benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-2 Full,runtime,1,348379,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16f05137d942029dfd2f0ea9505e510021eeffba9eaafc50e767c787b762fd3d,363,52998,5.227419966,0.014400606,5016,0,,0
SBPF-program,Stage-2 minus Closure,runtime,1,348403,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,823b006f13396be49bda05cb2dfc84a22e06fd4bf0e752d3e796e9c2801cef5a,363,52998,5.334387408,0.014695282,5148,0,,0
SBPF-program,Stage-1,runtime,1,348421,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16428a461467c55f83f21753c13d959c9d8b71f2bb463512be2bb51cbb41bb8d,1,146,88.576708026,88.576708026,1606944,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,1,348709,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,04c8955f60e402e7ac7a8575f33f5438ed1c12cb2bed0de3260a2745a01585b8,35,5110,5.064755735,0.144707307,5408,0,,0
SBPF-program,Stage-2 minus Last-Use,runtime,1,348738,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7de2f2abd0832a698680d36ec7697b32c9db174c10866a61235e144e29b2b8d0,2,292,5.057045872,2.528522936,1603704,0,,0
SBPF-program,Stage-2 Full,allocation,1,348756,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,f9142a6a66411bf3d10724b9bf2de81a73fea1b58d937f4c4cb2ebb98abd26d3,1,146,0.014387773,0.014387773,5100,20166944,,0
SBPF-program,Stage-2 minus Closure,allocation,1,348758,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,70a2dd87b1dee23b319c5ebebed6ffe40b9df1413ff365dac212ba43e1d22c27,1,146,0.018416397,0.018416397,5000,20166944,,0
SBPF-program,Stage-1,allocation,1,348760,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7df85c4864c3abde2605fa4a0594b0b81eb3aa4d8727325d3d39048313255c08,1,146,94.755007046,94.755007046,1606868,56653172736,,0
SBPF-program,Stage-2 minus Borrow,allocation,1,349060,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9e0f64551fd2b56f47168bd3205ab9203dc83faa16504b88e721b68ab16fd9fe,1,146,0.165294338,0.165294338,5408,137105648,,0
SBPF-program,Stage-2 minus Last-Use,allocation,1,349062,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9bdec22654c7a678930f6fad2af0f6972f5cf4527afc3806693e6ed876724bcc,1,146,2.777232102,2.777232102,1603772,1279540880,,0
