benchmark,implementation,metric,unit,run_1,run_2,run_3,median
SBPF-program,Stage-1,Median runtime,s,88.576708026,88.852323124,89.176530167,88.852323124
SBPF-program,Stage-1,Peak RSS,MiB,1569.281250000,1569.203125000,1569.160156250,1569.203125000
SBPF-program,Stage-1,Heap allocation,MiB/case,370.059423159,370.059423159,370.059423159,370.059423159
SBPF-program,Stage-1,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Borrow,Median runtime,s,0.144707307,0.140049107,0.141795875,0.141795875
SBPF-program,Stage-2 minus Borrow,Peak RSS,MiB,5.281250000,5.234375000,5.343750000,5.281250000
SBPF-program,Stage-2 minus Borrow,Heap allocation,MiB/case,0.895576268,0.895576268,0.895576268,0.895576268
SBPF-program,Stage-2 minus Borrow,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Last-Use,Median runtime,s,2.528522936,2.553839343,2.510108699,2.528522936
SBPF-program,Stage-2 minus Last-Use,Peak RSS,MiB,1566.117187500,1566.089843750,1566.160156250,1566.117187500
SBPF-program,Stage-2 minus Last-Use,Heap allocation,MiB/case,8.357981329,8.357981329,8.357981329,8.357981329
SBPF-program,Stage-2 minus Last-Use,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Closure,Median runtime,s,0.014695282,0.014630759,0.014620267,0.014630759
SBPF-program,Stage-2 minus Closure,Peak RSS,MiB,5.027343750,5.027343750,4.902343750,5.027343750
SBPF-program,Stage-2 minus Closure,Heap allocation,MiB/case,0.131730798,0.131730798,0.131730798,0.131730798
SBPF-program,Stage-2 minus Closure,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 Full,Median runtime,s,0.014400606,0.014713825,0.014588004,0.014588004
SBPF-program,Stage-2 Full,Peak RSS,MiB,4.898437500,5.027343750,4.933593750,4.933593750
SBPF-program,Stage-2 Full,Heap allocation,MiB/case,0.131730798,0.131730798,0.131730798,0.131730798
SBPF-program,Stage-2 Full,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-1,Median runtime,s,5.787787820,5.773615723,5.642238711,5.773615723
SBPF-instruction,Stage-1,Peak RSS,MiB,24.039062500,24.019531250,24.019531250,24.019531250
SBPF-instruction,Stage-1,Heap allocation,KiB/step,963.613432292,963.613432292,963.613432292,963.613432292
SBPF-instruction,Stage-1,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Borrow,Median runtime,s,0.162173436,0.161437318,0.159127085,0.161437318
SBPF-instruction,Stage-2 minus Borrow,Peak RSS,MiB,23.855468750,23.996093750,23.996093750,23.996093750
SBPF-instruction,Stage-2 minus Borrow,Heap allocation,KiB/step,35.540489583,35.540489583,35.540489583,35.540489583
SBPF-instruction,Stage-2 minus Borrow,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Last-Use,Median runtime,s,2.730446170,2.691254251,2.617525587,2.691254251
SBPF-instruction,Stage-2 minus Last-Use,Peak RSS,MiB,23.882812500,24.007812500,24.007812500,24.007812500
SBPF-instruction,Stage-2 minus Last-Use,Heap allocation,KiB/step,569.755135417,569.755135417,569.755135417,569.755135417
SBPF-instruction,Stage-2 minus Last-Use,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Closure,Median runtime,s,0.088838889,0.086580525,0.086336526,0.086580525
SBPF-instruction,Stage-2 minus Closure,Peak RSS,MiB,23.929687500,23.917968750,23.929687500,23.929687500
SBPF-instruction,Stage-2 minus Closure,Heap allocation,KiB/step,21.342750000,21.342750000,21.342750000,21.342750000
SBPF-instruction,Stage-2 minus Closure,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 Full,Median runtime,s,0.086294513,0.089109103,0.089517618,0.089109103
SBPF-instruction,Stage-2 Full,Peak RSS,MiB,23.929687500,23.929687500,23.859375000,23.929687500
SBPF-instruction,Stage-2 Full,Heap allocation,KiB/step,21.342750000,21.342750000,21.342750000,21.342750000
SBPF-instruction,Stage-2 Full,Host instructions,instructions/step,TBD,TBD,TBD,TBD
