benchmark,implementation,metric,unit,run_1,run_2,run_3,median
x64-stepper,Stage-1,Median runtime,s,0.034350315,0.034177837,0.033913954,0.034177837
x64-stepper,Stage-1,Peak RSS,MiB,18.582031250,18.703125000,18.707031250,18.703125000
x64-stepper,Stage-1,Heap allocation,KiB/step,9.818316406,9.818316406,9.818316406,9.818316406
x64-stepper,Stage-2 minus Borrow,Median runtime,s,0.015349848,0.015658041,0.014887749,0.015349848
x64-stepper,Stage-2 minus Borrow,Peak RSS,MiB,18.636718750,18.562500000,18.636718750,18.636718750
x64-stepper,Stage-2 minus Borrow,Heap allocation,KiB/step,3.882019531,3.882019531,3.882019531,3.882019531
x64-stepper,Stage-2 minus Last-Use,Median runtime,s,0.019177863,0.019084290,0.018553618,0.019084290
x64-stepper,Stage-2 minus Last-Use,Peak RSS,MiB,18.671875000,18.671875000,18.542968750,18.671875000
x64-stepper,Stage-2 minus Last-Use,Heap allocation,KiB/step,5.056404948,5.056404948,5.056404948,5.056404948
x64-stepper,Stage-2 minus Closure,Median runtime,s,0.011136813,0.010649151,0.010668982,0.010668982
x64-stepper,Stage-2 minus Closure,Peak RSS,MiB,18.679687500,18.679687500,18.742187500,18.679687500
x64-stepper,Stage-2 minus Closure,Heap allocation,KiB/step,2.742649740,2.742649740,2.742649740,2.742649740
x64-stepper,Stage-2 Full,Median runtime,s,0.010848354,0.010754628,0.010561936,0.010754628
x64-stepper,Stage-2 Full,Peak RSS,MiB,18.554687500,18.617187500,18.675781250,18.617187500
x64-stepper,Stage-2 Full,Heap allocation,KiB/step,2.742649740,2.742649740,2.742649740,2.742649740
