benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,measurement_status,exit_status
SBPF-program,Stage-2 minus PreferOwned,runtime,1,71887,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,34894229486aeff1e236e800f15c9e7bcc684b90496f09776056aa7802ac37cc,473,69058,13.897297176,0.029381178,8036,0,,measured,0
SBPF-program,Stage-2 Full,runtime,1,71934,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7c878e7df21b516bef8d2b4b5d434ae8650f5609c2e0332e9a8e45fec0c7f618,473,69058,5.108570835,0.010800361,5100,0,,measured,0
SBPF-program,Stage-2 minus PreferOwned,allocation,1,71959,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,92b1ff3869ded5c903e469cd40de544ff1981be72c83af581135c1a2e233c25d,1,146,0.031255807,0.031255807,7964,48611136,,measured,0
SBPF-program,Stage-2 Full,allocation,1,71961,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,6bfda9755fc2d060fffed5ca48fe5db82878cddcbf7190571980785a2e3dd446,1,146,0.011171934,0.011171934,5144,14806672,,measured,0
SBPF-instruction,Stage-2 minus PreferOwned,runtime,1,71963,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6c914ef1965ae2905b17186b4e7884ceced3e85a70769f102dd8ca5f1abdd635,65,390000,29.145168458,0.448387207,24504,0,,measured,0
SBPF-instruction,Stage-2 Full,runtime,1,72055,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,5ddded057e9ae59139c600a53897b2d361f815e460d95a17c9fba1886391de80,65,390000,4.913989661,0.075599841,24564,0,,measured,0
SBPF-instruction,Stage-2 minus PreferOwned,allocation,1,72073,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6cb56e01700ce0e69017b9f6b9ba56d6eacdc1aca311fd299f278bdc8e87c4a0,1,6000,0.519149669,0.519149669,24440,1133191136,,measured,0
SBPF-instruction,Stage-2 Full,allocation,1,72075,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ee51840f25335fb0bc11665c8e2ef55ffe1863e83c7a0253edb261e2c7a3b7b5,1,6000,0.086615028,0.086615028,24524,131129856,,measured,0
SBPF-program,Stage-2 Full,runtime,2,72083,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7c878e7df21b516bef8d2b4b5d434ae8650f5609c2e0332e9a8e45fec0c7f618,473,69058,5.124794844,0.010834661,5116,0,,measured,0
SBPF-program,Stage-2 minus PreferOwned,runtime,2,72097,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,34894229486aeff1e236e800f15c9e7bcc684b90496f09776056aa7802ac37cc,473,69058,13.667205092,0.028894725,8124,0,,measured,0
SBPF-program,Stage-2 Full,allocation,2,72142,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,6bfda9755fc2d060fffed5ca48fe5db82878cddcbf7190571980785a2e3dd446,1,146,0.010103912,0.010103912,5144,14806672,,measured,0
SBPF-program,Stage-2 minus PreferOwned,allocation,2,72144,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,92b1ff3869ded5c903e469cd40de544ff1981be72c83af581135c1a2e233c25d,1,146,0.031426959,0.031426959,7964,48611136,,measured,0
SBPF-instruction,Stage-2 Full,runtime,2,72146,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,5ddded057e9ae59139c600a53897b2d361f815e460d95a17c9fba1886391de80,65,390000,4.887478403,0.075191975,24564,0,,measured,0
SBPF-instruction,Stage-2 minus PreferOwned,runtime,2,72160,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6c914ef1965ae2905b17186b4e7884ceced3e85a70769f102dd8ca5f1abdd635,65,390000,29.379166011,0.451987169,24568,0,,measured,0
SBPF-instruction,Stage-2 Full,allocation,2,72258,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ee51840f25335fb0bc11665c8e2ef55ffe1863e83c7a0253edb261e2c7a3b7b5,1,6000,0.093748144,0.093748144,24500,131129856,,measured,0
SBPF-instruction,Stage-2 minus PreferOwned,allocation,2,72260,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6cb56e01700ce0e69017b9f6b9ba56d6eacdc1aca311fd299f278bdc8e87c4a0,1,6000,0.520454233,0.520454233,24440,1133191136,,measured,0
