benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-1,runtime,1,348421,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16428a461467c55f83f21753c13d959c9d8b71f2bb463512be2bb51cbb41bb8d,1,146,88.576708026,88.576708026,1606944,0,,0
SBPF-program,Stage-1,allocation,1,348760,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7df85c4864c3abde2605fa4a0594b0b81eb3aa4d8727325d3d39048313255c08,1,146,94.755007046,94.755007046,1606868,56653172736,,0
SBPF-instruction,Stage-1,runtime,1,349120,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2d50784e32f84541c2affa0438e5a15be7547069e3a6aa7ee816a1b0548756b3,1,6000,5.787787820,5.787787820,24616,0,,0
SBPF-instruction,Stage-1,allocation,1,349204,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89124754904d8614a0329f8bc49351695d39883069dd812ab4a5937bba335406,1,6000,6.076442296,6.076442296,24592,5920440928,,0
SBPF-program,Stage-1,runtime,2,349329,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16428a461467c55f83f21753c13d959c9d8b71f2bb463512be2bb51cbb41bb8d,1,146,88.852323124,88.852323124,1606864,0,,0
SBPF-program,Stage-1,allocation,2,349634,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7df85c4864c3abde2605fa4a0594b0b81eb3aa4d8727325d3d39048313255c08,1,146,93.539251350,93.539251350,1606948,56653172736,,0
SBPF-instruction,Stage-1,runtime,2,350007,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2d50784e32f84541c2affa0438e5a15be7547069e3a6aa7ee816a1b0548756b3,1,6000,5.773615723,5.773615723,24596,0,,0
SBPF-instruction,Stage-1,allocation,2,350059,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89124754904d8614a0329f8bc49351695d39883069dd812ab4a5937bba335406,1,6000,5.901049372,5.901049372,24384,5920440928,,0
SBPF-program,Stage-1,runtime,3,350084,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16428a461467c55f83f21753c13d959c9d8b71f2bb463512be2bb51cbb41bb8d,1,146,89.176530167,89.176530167,1606820,0,,0
SBPF-program,Stage-1,allocation,3,350452,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7df85c4864c3abde2605fa4a0594b0b81eb3aa4d8727325d3d39048313255c08,1,146,93.566469388,93.566469388,1606944,56653172736,,0
