benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,measurement_status,exit_status
x64-stepper,Stage-2 minus PreferOwned,runtime,1,76864,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0c8697337e6f9fcc48d46a6137e6ea5bf25f1af02292a84c74da60054c8fc60d,636,3816000,5.760133218,0.009056813,18996,0,measured,0
x64-stepper,Stage-2 Full,runtime,1,76885,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b9f8021dd22aa92a1335fc80e871e226f892c068451958571b9bf2dff0c783f5,636,3816000,6.098794066,0.009589299,19064,0,measured,0
x64-stepper,Stage-2 minus PreferOwned,allocation,1,76905,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,79412bf77016502ab88df280520b5b6794b00339740fd8a05a5e19fdcd047e8e,1,6000,0.009873998,0.009873998,19128,15464920,measured,0
x64-stepper,Stage-2 Full,allocation,1,76910,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,830cbab921d41c3372bb5abb1164adcf89719db96c4f5a588fc58dedc8b00f97,1,6000,0.012387204,0.012387204,19000,16850840,measured,0
x64-stepper,Stage-2 Full,runtime,2,76915,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b9f8021dd22aa92a1335fc80e871e226f892c068451958571b9bf2dff0c783f5,636,3816000,5.766694886,0.009067130,18996,0,measured,0
x64-stepper,Stage-2 minus PreferOwned,runtime,2,76929,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0c8697337e6f9fcc48d46a6137e6ea5bf25f1af02292a84c74da60054c8fc60d,636,3816000,5.888474101,0.009258607,19000,0,measured,0
x64-stepper,Stage-2 Full,allocation,2,76949,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,830cbab921d41c3372bb5abb1164adcf89719db96c4f5a588fc58dedc8b00f97,1,6000,0.009521697,0.009521697,19192,16850840,measured,0
x64-stepper,Stage-2 minus PreferOwned,allocation,2,76951,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,79412bf77016502ab88df280520b5b6794b00339740fd8a05a5e19fdcd047e8e,1,6000,0.010484268,0.010484268,19000,15464920,measured,0
x64-stepper,Stage-2 minus PreferOwned,runtime,3,76953,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0c8697337e6f9fcc48d46a6137e6ea5bf25f1af02292a84c74da60054c8fc60d,636,3816000,5.670955284,0.008916596,19192,0,measured,0
x64-stepper,Stage-2 Full,runtime,3,76973,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b9f8021dd22aa92a1335fc80e871e226f892c068451958571b9bf2dff0c783f5,636,3816000,5.997660236,0.009430283,18988,0,measured,0
x64-stepper,Stage-2 minus PreferOwned,allocation,3,76995,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,79412bf77016502ab88df280520b5b6794b00339740fd8a05a5e19fdcd047e8e,1,6000,0.012120376,0.012120376,19112,15464920,measured,0
x64-stepper,Stage-2 Full,allocation,3,76997,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,830cbab921d41c3372bb5abb1164adcf89719db96c4f5a588fc58dedc8b00f97,1,6000,0.011051970,0.011051970,18996,16850840,measured,0
