benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,measurement_status,exit_status
x64-stepper,Stage-1,runtime,1,356191,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,19648aeb8438c12257c2d0e2a33d9aec2111b316afff21c807745e9d5c5316c3,143,858000,4.912095017,0.034350315,19028,0,measured,0
x64-stepper,Stage-1,allocation,1,356255,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,07adfbbbdecb46ce92bc39b1ea87c1e531593e116417db089b357f4e9a87cb11,1,6000,0.038031784,0.038031784,19136,60323736,measured,0
x64-stepper,Stage-1,runtime,2,356261,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,19648aeb8438c12257c2d0e2a33d9aec2111b316afff21c807745e9d5c5316c3,143,858000,4.887430650,0.034177837,19152,0,measured,0
x64-stepper,Stage-1,allocation,2,356379,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,07adfbbbdecb46ce92bc39b1ea87c1e531593e116417db089b357f4e9a87cb11,1,6000,0.037101432,0.037101432,18960,60323736,measured,0
x64-stepper,Stage-1,runtime,3,356389,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,19648aeb8438c12257c2d0e2a33d9aec2111b316afff21c807745e9d5c5316c3,143,858000,4.849695374,0.033913954,19156,0,measured,0
x64-stepper,Stage-1,allocation,3,356503,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,07adfbbbdecb46ce92bc39b1ea87c1e531593e116417db089b357f4e9a87cb11,1,6000,0.037499821,0.037499821,19012,60323736,measured,0
x64-stepper,Stage-2 Full,runtime,1,393960,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b9f8021dd22aa92a1335fc80e871e226f892c068451958571b9bf2dff0c783f5,549,3294000,6.545110457,0.011921877,19192,0,measured,0
x64-stepper,Stage-2 minus Closure,runtime,1,393983,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,4a9bba6f7441d0822f06e19d9f5c8f75bc9ea66d9615e3c58c86204816ab6c26,549,3294000,6.533001436,0.011899820,19192,0,measured,0
x64-stepper,Stage-2 minus Borrow,runtime,1,394010,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,9a2685de7d98fd63270c26a9a1d22d6da98f836ef70315b08751db67dcf0ef44,226,1356000,3.670540153,0.016241328,19084,0,measured,0
x64-stepper,Stage-2 minus Last-Use,runtime,1,394022,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,3e3520bbfd957c620b328676f31c1af3278b614b7c144599550b2feda881215b,291,1746000,5.784447388,0.019877826,19120,0,measured,0
x64-stepper,Stage-2 Full,allocation,1,394046,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,830cbab921d41c3372bb5abb1164adcf89719db96c4f5a588fc58dedc8b00f97,1,6000,0.011461137,0.011461137,19192,16850840,measured,0
x64-stepper,Stage-2 minus Closure,allocation,1,394048,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,c44d08a190b93b06a4aca15921b869314ba172a2d6dea0bb0bd4749c3f7134b0,1,6000,0.011596024,0.011596024,19000,16850840,measured,0
x64-stepper,Stage-2 minus Borrow,allocation,1,394050,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,e72cea696a761aa56765675539d409919d591835b2f44a7d92247991cb4f6915,1,6000,0.016039844,0.016039844,18956,23851128,measured,0
x64-stepper,Stage-2 minus Last-Use,allocation,1,394052,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0f299e30745343e6fb4b23dd237eb90a572d39242bad666b03eaf5a779094dd8,1,6000,0.019137763,0.019137763,19120,31066552,measured,0
x64-stepper,Stage-2 minus Borrow,runtime,2,394054,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,9a2685de7d98fd63270c26a9a1d22d6da98f836ef70315b08751db67dcf0ef44,226,1356000,3.707679397,0.016405661,19084,0,measured,0
x64-stepper,Stage-2 minus Last-Use,runtime,2,394068,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,3e3520bbfd957c620b328676f31c1af3278b614b7c144599550b2feda881215b,291,1746000,5.939385056,0.020410258,19120,0,measured,0
x64-stepper,Stage-2 minus Closure,runtime,2,394088,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,4a9bba6f7441d0822f06e19d9f5c8f75bc9ea66d9615e3c58c86204816ab6c26,549,3294000,6.165394597,0.011230227,18984,0,measured,0
x64-stepper,Stage-2 Full,runtime,2,394108,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b9f8021dd22aa92a1335fc80e871e226f892c068451958571b9bf2dff0c783f5,549,3294000,6.356413368,0.011578166,19116,0,measured,0
x64-stepper,Stage-2 minus Borrow,allocation,2,394132,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,e72cea696a761aa56765675539d409919d591835b2f44a7d92247991cb4f6915,1,6000,0.015128727,0.015128727,18956,23851128,measured,0
x64-stepper,Stage-2 minus Last-Use,allocation,2,394134,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0f299e30745343e6fb4b23dd237eb90a572d39242bad666b03eaf5a779094dd8,1,6000,0.026405643,0.026405643,19116,31066552,measured,0
x64-stepper,Stage-2 minus Closure,allocation,2,394136,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,c44d08a190b93b06a4aca15921b869314ba172a2d6dea0bb0bd4749c3f7134b0,1,6000,0.016699887,0.016699887,18988,16850840,measured,0
x64-stepper,Stage-2 Full,allocation,2,394138,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,830cbab921d41c3372bb5abb1164adcf89719db96c4f5a588fc58dedc8b00f97,1,6000,0.011647276,0.011647276,18996,16850840,measured,0
x64-stepper,Stage-2 minus Last-Use,runtime,3,394140,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,3e3520bbfd957c620b328676f31c1af3278b614b7c144599550b2feda881215b,291,1746000,5.320923626,0.018284961,18980,0,measured,0
x64-stepper,Stage-2 Full,runtime,3,394165,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b9f8021dd22aa92a1335fc80e871e226f892c068451958571b9bf2dff0c783f5,549,3294000,5.131262309,0.009346562,19000,0,measured,0
x64-stepper,Stage-2 minus Closure,runtime,3,394179,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,4a9bba6f7441d0822f06e19d9f5c8f75bc9ea66d9615e3c58c86204816ab6c26,549,3294000,4.977706910,0.009066861,18992,0,measured,0
x64-stepper,Stage-2 minus Borrow,runtime,3,394198,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,9a2685de7d98fd63270c26a9a1d22d6da98f836ef70315b08751db67dcf0ef44,226,1356000,2.976491628,0.013170317,19148,0,measured,0
x64-stepper,Stage-2 minus Last-Use,allocation,3,394212,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,0f299e30745343e6fb4b23dd237eb90a572d39242bad666b03eaf5a779094dd8,1,6000,0.018334543,0.018334543,19120,31066552,measured,0
x64-stepper,Stage-2 Full,allocation,3,394217,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,830cbab921d41c3372bb5abb1164adcf89719db96c4f5a588fc58dedc8b00f97,1,6000,0.009912633,0.009912633,19064,16850840,measured,0
x64-stepper,Stage-2 minus Closure,allocation,3,394219,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,c44d08a190b93b06a4aca15921b869314ba172a2d6dea0bb0bd4749c3f7134b0,1,6000,0.009483038,0.009483038,19088,16850840,measured,0
x64-stepper,Stage-2 minus Borrow,allocation,3,394221,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,e72cea696a761aa56765675539d409919d591835b2f44a7d92247991cb4f6915,1,6000,0.013328378,0.013328378,18956,23851128,measured,0
x64-stepper,Native x64 baseline,runtime,1,31201,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,140,840000,5.361618772,0.038297277,34792,0,measured,0
x64-stepper,Native x64 baseline,allocation,1,31254,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,1,6000,0.000000000,0.000000000,34792,,unavailable: non-comparable measurement boundary,0
x64-stepper,Native x64 baseline,runtime,2,31429,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,140,840000,5.073884781,0.036242034,34792,0,measured,0
x64-stepper,Native x64 baseline,allocation,2,31472,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,1,6000,0.000000000,0.000000000,34792,,unavailable: non-comparable measurement boundary,0
x64-stepper,Native x64 baseline,runtime,3,31583,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,140,840000,5.313437522,0.037953125,34792,0,measured,0
x64-stepper,Native x64 baseline,allocation,3,31696,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8510d37f4afb7ad5f43778259103d5fb17f86d14241b26837ac4e4414e0edb3e,1,6000,0.000000000,0.000000000,34664,,unavailable: non-comparable measurement boundary,0
x64-stepper,OCaml baseline,runtime,1,19565,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,21e54992a132a3089da94afe5dcb187b90e4c2b26902a7f3456802cf39dec62d,9,54000,5.605839443,0.622871049,117816,0,measured,0
