benchmark,implementation,metric,unit,run_1,run_2,run_3,median
x64-stepper,Stage-1,Median runtime,s,0.034350315,0.034177837,0.033913954,0.034177837
x64-stepper,Stage-1,Peak RSS,MiB,18.582031250,18.703125000,18.707031250,18.703125000
x64-stepper,Stage-1,Heap allocation,KiB/step,9.818316406,9.818316406,9.818316406,9.818316406
x64-stepper,Stage-2 minus Borrow,Median runtime,s,0.016241328,0.016405661,0.013170317,0.016241328
x64-stepper,Stage-2 minus Borrow,Peak RSS,MiB,18.636718750,18.636718750,18.699218750,18.636718750
x64-stepper,Stage-2 minus Borrow,Heap allocation,KiB/step,3.882019531,3.882019531,3.882019531,3.882019531
x64-stepper,Stage-2 minus Last-Use,Median runtime,s,0.019877826,0.020410258,0.018284961,0.019877826
x64-stepper,Stage-2 minus Last-Use,Peak RSS,MiB,18.671875000,18.671875000,18.535156250,18.671875000
x64-stepper,Stage-2 minus Last-Use,Heap allocation,KiB/step,5.056404948,5.056404948,5.056404948,5.056404948
x64-stepper,Stage-2 minus Closure,Median runtime,s,0.011899820,0.011230227,0.009066861,0.011230227
x64-stepper,Stage-2 minus Closure,Peak RSS,MiB,18.742187500,18.539062500,18.546875000,18.546875000
x64-stepper,Stage-2 minus Closure,Heap allocation,KiB/step,2.742649740,2.742649740,2.742649740,2.742649740
x64-stepper,Stage-2 Full,Median runtime,s,0.011921877,0.011578166,0.009346562,0.011578166
x64-stepper,Stage-2 Full,Peak RSS,MiB,18.742187500,18.667968750,18.554687500,18.667968750
x64-stepper,Stage-2 Full,Heap allocation,KiB/step,2.742649740,2.742649740,2.742649740,2.742649740
x64-stepper,OCaml baseline,Median runtime,s,0.622871049,0.613594685,0.625063633,0.622871049
x64-stepper,OCaml baseline,Peak RSS,MiB,115.054687500,115.101562500,115.062500000,115.062500000
x64-stepper,OCaml baseline,Heap allocation,KiB/step,491.115390625,491.115390625,491.115390625,491.115390625
x64-stepper,Native x64 baseline,Median runtime,s,0.038297277,0.036242034,0.037953125,0.037953125
x64-stepper,Native x64 baseline,Peak RSS,MiB,33.976562500,33.976562500,33.976562500,33.976562500
x64-stepper,Native x64 baseline,Heap allocation,KiB/step,unavailable,unavailable,unavailable,unavailable
